Xmin	Xmax	Ymin	Ymax	Zmin	Zmax
-0.153094	2.15309	-0.153094	2.15309	0.846906	9.45928	
x	y	z	U	V	W	Ro	P	Vol	Num
0.493474	0.592933	1.14918	0.0756149	0.146031	0.136064	5826.86	16482.6	0.000501002	2
0.488781	0.647023	1.17966	-0.317611	0.506182	13.5795	4317.65	11955	0.000501002	2
0.491422	0.646074	1.13264	-0.128917	0.463893	6.17048	4236.96	11712.9	0.000501002	2
0.49314	0.648593	1.10723	0.0307701	0.653389	0.615183	4216.34	11651	0.000501002	2
0.492365	0.64989	1.14995	-0.0156472	0.78684	0.200174	4099.96	11301.9	0.000501002	2
0.540962	0.489019	1.17957	-0.0970418	-0.28628	13.5193	6086.94	17262.8	0.000501002	2
0.541506	0.491698	1.13162	-0.0535734	-0.0991071	6.10067	5873.17	16621.5	0.000501002	2
0.543148	0.493199	1.10701	0.0973646	0.0447513	0.606754	5959.34	16880	0.000501002	2
0.542932	0.492843	1.14889	0.0894097	0.0190919	0.111716	6012.11	17038.3	0.000501002	2
0.540567	0.541272	1.17993	-0.132338	-0.0699598	13.5405	6407.56	18224.7	0.000501002	2
0.541356	0.541551	1.13195	-0.0699351	-0.0463986	6.12953	6151.53	17456.6	0.000501002	2
0.543363	0.542718	1.10708	0.113834	0.0611695	0.614247	6227.1	17683.3	0.000501002	2
0.543148	0.542529	1.14876	0.109629	0.0524302	0.101856	6289.16	17869.5	0.000501002	2
0.540436	0.593233	1.17951	-0.144195	0.122415	13.5239	6100.02	17302.1	0.000501002	2
0.541263	0.591396	1.13191	-0.0790789	0.00308751	6.12412	5884.68	16656	0.000501002	2
0.543385	0.592434	1.10689	0.115723	0.0944145	0.596587	5944.47	16835.4	0.000501002	2
0.543164	0.592451	1.14877	0.111197	0.107083	0.102608	6004.22	17014.7	0.000501002	2
0.540655	0.646554	1.17976	-0.124649	0.461811	13.5799	4541.03	12625.1	0.000501002	2
0.541344	0.645579	1.13269	-0.0705367	0.419135	6.17427	4429.26	12289.8	0.000501002	2
0.543124	0.648182	1.10709	0.0905543	0.617577	0.604085	4403.26	12211.8	0.000501002	2
0.543205	0.649451	1.14921	0.114818	0.749233	0.141155	4360.88	12084.6	0.000501002	2
0.541632	0.698172	1.18151	-0.0357712	0.683763	13.7575	2195	5587	0.000501002	2
0.592378	0.489027	1.17919	0.0486084	-0.288635	13.5061	5950.56	16853.7	0.000501002	2
0.59073	0.491494	1.13156	-0.0575996	-0.1157	6.09556	5764.69	16296.1	0.000501002	2
0.592431	0.492908	1.10704	0.0982212	0.0212901	0.610345	5843.67	16533	0.000501002	2
0.592585	0.492257	1.14925	0.122157	-0.0291492	0.141038	5827.45	16484.3	0.000501002	2
0.591953	0.541227	1.17946	0.00855635	-0.0737388	13.5205	6339.35	18020.1	0.000501002	2
0.590353	0.541536	1.13184	-0.0924183	-0.0478956	6.11994	6096.79	17292.4	0.000501002	2
0.592271	0.54268	1.10701	0.0855707	0.0576427	0.609422	6169.28	17509.8	0.000501002	2
0.592085	0.542536	1.14884	0.0841222	0.0530702	0.108392	6193.49	17582.5	0.000501002	2
0.591819	0.593312	1.17912	-0.000389394	0.13314	13.5087	5966.26	16900.8	0.000501002	2
0.590524	0.591607	1.13178	-0.0801642	0.0219562	6.11344	5775.57	16328.7	0.000501002	2
0.59274	0.592579	1.10692	0.124021	0.10563	0.599046	5827.07	16483.2	0.000501002	2
0.592874	0.592976	1.14921	0.148967	0.149418	0.13938	5817	16453	0.000501002	2
0.592118	0.647262	1.17941	0.0319682	0.530635	13.5643	4327.44	11984.3	0.000501002	2
0.591225	0.646195	1.13233	-0.020498	0.478246	6.14281	4239.55	11720.6	0.000501002	2
0.593184	0.648476	1.10718	0.154557	0.644248	0.606864	4211.22	11635.6	0.000501002	2
0.594247	0.649815	1.15007	0.265009	0.779035	0.209898	4087.89	11265.7	0.000501002	2
0.643215	0.488727	1.17865	0.164449	-0.322367	13.4986	5340.09	15022.3	0.000501002	2
0.641033	0.490478	1.13179	0.0267215	-0.200712	6.10999	5233.04	14701.1	0.000501002	2
0.643492	0.491465	1.10725	0.236482	-0.094277	0.623203	5274.25	14824.8	0.000501002	2
0.644667	0.490148	1.15063	0.353677	-0.202593	0.255951	5066.72	14202.2	0.000501002	2
0.642505	0.541183	1.17859	0.097728	-0.0772377	13.4878	5923.53	16772.6	0.000501002	2
0.640054	0.541548	1.13175	-0.0586457	-0.0471621	6.11125	5754.3	16264.9	0.000501002	2
0.642673	0.542709	1.10704	0.1753	0.0605247	0.609933	5798.94	16398.8	0.000501002	2
0.643185	0.542588	1.14971	0.232683	0.0578429	0.180686	5670.24	16012.7	0.000501002	2
0.642872	0.59359	1.17861	0.1352	0.165182	13.5006	5362.78	15090.3	0.000501002	2
0.641016	0.592687	1.1319	0.0219038	0.112232	6.11941	5241.79	14727.4	0.000501002	2
0.64368	0.59367	1.10704	0.251895	0.186721	0.603348	5255	14767	0.000501002	2
0.644895	0.595145	1.15074	0.375031	0.328948	0.266806	5052.3	14158.9	0.000501002	2
0.64373	0.647166	1.17956	0.223417	0.531761	13.6041	3621.36	9866.09	0.000501002	2
0.642893	0.646966	1.13289	0.184768	0.543501	6.18335	3567.84	9705.52	0.000501002	2
0.646048	0.649705	1.10745	0.445473	0.746988	0.62086	3491.21	9475.63	0.000501002	2
0.647706	0.651153	1.15256	0.610076	0.894807	0.417057	3206.72	8622.17	0.000501002	2
0.694252	0.488079	1.17916	0.32658	-0.388979	13.582	3949.82	10851.5	0.000501002	2
0.694017	0.48863	1.13338	0.340952	-0.357768	6.2237	3899.23	10699.7	0.000501002	2
0.698441	0.488403	1.10808	0.694813	-0.350249	0.673572	3830.08	10492.3	0.000501002	2
0.700589	0.487316	1.15286	0.907313	-0.440334	0.446096	3434.72	9306.16	0.000501002	2
0.693519	0.541159	1.17851	0.257679	-0.0794211	13.5224	4588.75	12768.3	0.000501002	2
0.69276	0.541543	1.13264	0.232156	-0.0480652	6.17007	4511.83	12537.5	0.000501002	2
0.697116	0.542711	1.10759	0.580988	0.060187	0.633574	4457.77	12375.3	0.000501002	2
0.69964	0.542683	1.15172	0.824029	0.0668609	0.351497	4104.99	11317	0.000501002	2
0.694134	0.59447	1.17898	0.317576	0.252953	13.5673	3968.55	10907.7	0.000501002	2
0.693969	0.59479	1.13294	0.336711	0.292621	6.18741	3902.73	10710.2	0.000501002	2
0.698248	0.596491	1.10777	0.677351	0.42208	0.643619	3819.88	10461.7	0.000501002	2
0.700458	0.597927	1.15312	0.896119	0.562606	0.466749	3422.77	9270.31	0.000501002	2
0.694997	0.646662	1.17997	0.40741	0.500327	13.656	2441.49	6326.47	0.000501002	2
0.744874	0.488518	1.18053	0.477881	-0.354428	13.7156	2113.99	5343.96	0.000501002	2
0.745005	0.54144	1.1798	0.486906	-0.0541743	13.659	2572.8	6720.4	0.000501002	2
0.746829	0.541906	1.13572	0.659598	-0.0158107	6.40041	2525.39	6578.16	0.000501002	2
0.744786	0.59449	1.17995	0.471048	0.261058	13.665	2123.07	5371.22	0.000501002	2
0.491336	0.49078	1.19861	-0.112767	-0.159001	0.163985	4139.43	11420.3	0.000501002	2
0.490715	0.489534	1.24638	-0.1646	-0.261897	0.01346	3272.86	8820.59	0.000501002	2
0.490814	0.487205	1.29541	-0.157662	-0.453835	-0.0167838	2949.54	7850.63	0.000501002	2
0.491294	0.485172	1.3441	-0.119121	-0.621797	-0.0658205	2661.34	6986.03	0.000501002	2
0.490753	0.484158	1.39357	-0.164015	-0.706002	-0.0498221	2429.45	6290.34	0.000501002	2
0.488543	0.483737	1.44286	-0.346241	-0.741538	-0.0481829	2211.93	5637.79	0.000501002	2
0.492468	0.541856	1.19794	-0.0214843	-0.0101522	0.107569	4506.17	12520.5	0.000501002	2
0.492023	0.541814	1.24548	-0.058283	-0.0138976	-0.0610119	3740.07	10222.2	0.000501002	2
0.491716	0.541839	1.2943	-0.0842472	-0.0118373	-0.107686	3554.07	9664.22	0.000501002	2
0.491553	0.541862	1.34336	-0.098387	-0.00988056	-0.12686	3398.32	9196.95	0.000501002	2
0.490891	0.54186	1.39314	-0.152777	-0.0100056	-0.085763	3221.74	8667.23	0.000501002	2
0.489222	0.541864	1.44255	-0.289223	-0.00968072	-0.0749815	2968.24	7906.72	0.000501002	2
0.491189	0.593016	1.19851	-0.125735	0.14599	0.155518	4138.96	11418.9	0.000501002	2
0.490524	0.594225	1.24645	-0.181569	0.245673	0.0195021	3271.51	8816.54	0.000501002	2
0.4907	0.596644	1.29555	-0.167801	0.445499	-0.00434959	2947.69	7845.06	0.000501002	2
0.491289	0.598691	1.34417	-0.119601	0.614715	-0.059595	2660.6	6983.8	0.000501002	2
0.49079	0.599686	1.39359	-0.160671	0.697174	-0.0487311	2429.47	6290.4	0.000501002	2
0.488587	0.600119	1.44285	-0.342314	0.733802	-0.0494269	2211.83	5637.48	0.000501002	2
0.488826	0.649795	1.19969	-0.322236	0.776879	0.256945	2768.7	7308.09	0.000501002	2
0.487795	0.650365	1.24872	-0.407365	0.82011	0.211455	1975.89	4929.68	0.000501002	2
0.541904	0.491788	1.1981	-0.0059317	-0.0769817	0.120998	4396.26	12190.8	0.000501002	2
0.541853	0.490891	1.2462	-0.0104196	-0.151232	-0.00248439	3563.52	9692.56	0.000501002	2
0.541802	0.488669	1.29567	-0.0149853	-0.333823	0.00353423	3202.31	8608.92	0.000501002	2
